类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Root","??_EwxBoxSizer@@UAEPAXI@Z","??_EwxBoxSizer@@UAEPAXI@Z",1,0,0.01,0.00,
"Caller","??_EwxBoxSizer@@UAEPAXI@Z","??1wxSizerItem@@UAE@XZ",1,0,0.01,0.00,
"Caller","??_EwxBoxSizer@@UAEPAXI@Z","?SetSizer@wxWindowBase@@QAEXPAVwxSizer@@_N@Z",1,0,0.01,0.00,
"Callee","??_EwxBoxSizer@@UAEPAXI@Z","??1wxBoxSizer@@UAE@XZ",1,0,0.01,0.00,
"Root","??_EwxSizerItem@@UAEPAXI@Z","??_EwxSizerItem@@UAEPAXI@Z",1,0,0.01,0.00,
"Caller","??_EwxSizerItem@@UAEPAXI@Z","??1wxSizer@@UAE@XZ",1,0,0.01,0.00,
"Callee","??_EwxSizerItem@@UAEPAXI@Z","??1wxSizerItem@@UAE@XZ",1,0,0.01,0.00,
"Root","??_EwxwxSizerItemListNode@@UAEPAXI@Z","??_EwxwxSizerItemListNode@@UAEPAXI@Z",1,1,0.01,0.01,
"Caller","??_EwxwxSizerItemListNode@@UAEPAXI@Z","?DoDeleteNode@wxListBase@@AAEXPAVwxNodeBase@@@Z",1,1,0.01,0.01,
"Root","??0wxAuiDefaultDockArt@@QAE@XZ","??0wxAuiDefaultDockArt@@QAE@XZ",19,0,0.26,0.00,
"Caller","??0wxAuiDefaultDockArt@@QAE@XZ","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z",19,0,0.26,0.00,
"Callee","??0wxAuiDefaultDockArt@@QAE@XZ","wxFont::wxFont",19,0,0.26,0.00,
"Root","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z",19,0,0.26,0.00,
"Caller","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z","MainFrame::MainFrame",19,0,0.26,0.00,
