函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"[ntdll.dll]","3,404",704,46.06,9.53,
"[MSVCR120D.dll]","4,737",536,64.09,7.25,
"wxStringBase::GetStringData",228,228,3.08,3.08,
"wxStringBase::c_str",204,204,2.76,2.76,
"std::_Iterator_base12::_Orphan_me",183,178,2.48,2.41,
"std::forward<AutoCompleteManager::Entry const &>",168,168,2.27,2.27,
"[MSVCP120D.dll]",316,124,4.28,1.68,
"std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0>::_Kfn",119,119,1.61,1.61,
"std::_Iterator_base12::_Adopt",324,112,4.38,1.52,
"AutoCompleteManager::Entry::operator<",350,106,4.74,1.43,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Kfn",230,106,3.11,1.43,
"std::less<AutoCompleteManager::Entry>::operator()",448,94,6.06,1.27,
"wxStringData::IsEmpty",92,92,1.24,1.24,
"std::_Bitmap::_Mark",90,90,1.22,1.22,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Insert_nohint<AutoCompleteManager::Entry,std::_Nil>","1,716",83,23.22,1.12,
"std::_Iterator_base12::~_Iterator_base12",310,73,4.19,0.99,
"_RTC_CheckStackVars",72,72,0.97,0.97,
"std::_Iterator_base12::_Iterator_base12",290,70,3.92,0.95,
"@ILT+37035(__RTC_CheckEsp)",68,68,0.92,0.92,
"std::_Debug_lt_pred<std::less<AutoCompleteManager::Entry>,AutoCompleteManager::Entry const &,AutoCompleteManager::Entry const &>",691,68,9.35,0.92,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Isnil",67,67,0.91,0.91,
"wxStringBase::length",127,67,1.72,0.91,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Key",238,60,3.22,0.81,
"std::_Tree_comp<0,std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Getcomp",59,59,0.80,0.80,
"_RTC_CheckEsp",58,58,0.78,0.78,
"wxStringData::Unlock",213,57,2.88,0.77,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Myval",52,52,0.70,0.70,
"wxStringBase::~wxStringBase",261,50,3.53,0.68,
"wxStringData::IsValid",46,46,0.62,0.62,
"std::_Iterator_base12::_Getcont",43,43,0.58,0.58,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Getal",128,43,1.73,0.58,
"std::allocator<unsigned int>::allocator<unsigned int>",42,42,0.57,0.57,
"std::_Iterator_base12::operator=",217,41,2.94,0.55,
"wxString::~wxString",304,41,4.11,0.55,
"std::_Wrap_alloc<std::allocator<unsigned int> >::_Wrap_alloc<std::allocator<unsigned int> >",86,39,1.16,0.53,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Left",34,34,0.46,0.46,
"std::forward<std::_Container_proxy>",34,34,0.46,0.46,
"wxString::wxString",291,34,3.94,0.46,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Getal",87,32,1.18,0.43,
"wxStringBase::empty",81,32,1.10,0.43,
"std::_Iterator_base12::_Iterator_base12",31,31,0.42,0.42,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Right",31,31,0.42,0.42,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",54,28,0.73,0.38,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::allocator<std::_Tgt_state_t<char const *>::_Grp_t>",28,28,0.38,0.38,
"wxStringBase::wxStringBase",253,27,3.42,0.37,
"wxStringData::Lock",61,27,0.83,0.37,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",179,26,2.42,0.35,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",117,26,1.58,0.35,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",103,26,1.39,0.35,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Next",51,25,0.69,0.34,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::_Wrap_alloc<std::allocator<std::_Container_proxy> >",47,25,0.64,0.34,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Trans",29,24,0.39,0.32,
"std::allocator<std::_Container_proxy>::construct<std::_Container_proxy,std::_Container_proxy>",56,24,0.76,0.32,
"std::vector<unsigned int,std::allocator<bool> >::size",24,24,0.32,0.32,
"[kernel32.dll]",96,23,1.30,0.31,
"operator new",23,23,0.31,0.31,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::deallocate",164,23,2.22,0.31,
"std::allocator<std::_Container_proxy>::allocator<std::_Container_proxy>",23,23,0.31,0.31,
"std::forward<AutoCompleteManager::Entry>",22,22,0.30,0.30,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::~_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",74,21,1.00,0.28,
"std::vector<Symbol *,std::allocator<Symbol *> >::size",21,21,0.28,0.28,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",137,20,1.85,0.27,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",109,19,1.47,0.26,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",115,19,1.56,0.26,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Parent",19,19,0.26,0.26,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",142,19,1.92,0.26,
