名称,类别,值,
"ETL 文件签名","ETW","00000000-0000-0000-0000-000000000000",
"应用程序 ETL 文件","ETW","",
"内核 ETL 文件","ETW","",
"版本字符串","版本信息","12.0.21005 x86",
"内部版本号","版本信息","21005",
"主文件版本","版本信息","43",
"主产品版本","版本信息","12",
"次文件版本","版本信息","1",
"次产品版本","版本信息","0",
"样本(系统开销)","采样","143",
"为 PageFault 采样","采样","False",
"为 SysCall 采样","采样","False",
"为循环采样","采样","True",
"为性能计数器采样","采样","False",
"采样间隔","采样","10000000",
"样本(总数)","采样","20834",
"样本(应用程序)","采样","7394",
"样本(内核)","采样","4060",
"回调(堆栈审核) ","采样","7391",
"样本(回调)","采样","7394",
"样本(损坏)","采样","39",
"样本(已中止)","采样","3",
"样本(其他)","采样","9237",
"I/O 缓冲区数","常规","514",
"缓冲区的大小","常规","65536",
"创建时间","常规","2014/5/28 9:08:40",
"为 64 位","集合","False",
"为资源争用","集合","False",
"为并发","集合","False",
"为采样","集合","True",
"为可视化工具","集合","False",
"为检测","集合","False",
"为分配","集合","False",
"为托管","集合","False",
"为 TIP","集合","False",
"为不受支持的 CLR","集合","False",
"是否发生 DHP","集合","False",
"UMS 应用程序是否已终止","集合","False",
"为 JScript","集合","False",
"为正常退出","集合","True",
"为生存期","集合","False",
"CPU 型号","计算机信息","10",
"操作系统主版本","计算机信息","6",
"操作系统次版本","计算机信息","1",
"CPU 系列","计算机信息","6",
"CPU 体系结构","计算机信息","Intel",
"操作系统内部版本号","计算机信息","7601",
"CPU 类型","计算机信息","Intel",
"CPU 数量","计算机信息","4",
"计算机名","计算机信息","SAVIC-PC",
"CPU 步进","计算机信息","7",
"时钟频率","计算机信息","2195",
"最大进程数","进程","64",
"进程数","进程","0",
"总进程数","进程","1",
"进程高水位","进程","1",
"线程数","线程","0",
"总线程数","线程","16",
"最大线程数","线程","512",
"线程高水位","线程","16",
"计数器 0","性能计数器","TimeStamp Counter",
