函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"wxStringBase::GetStringData",160,2.16,0x0167FA4D,265,0,265,0,
"wxStringBase::c_str",157,2.12,0x0168856D,527,0,527,0,
"std::forward<AutoCompleteManager::Entry const &>",143,1.93,0x016845CC,"1,504",0,"1,504",0,
"std::_Iterator_base12::_Orphan_me",108,1.46,0x01687BDD,192,0,192,0,
"std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0>::_Kfn",96,1.30,0x016877CC,33,0,33,0,
"[ntdll.dll]",91,1.23,0x776122D7,0,0,0,0,
"[ntdll.dll]",86,1.16,0x7761E0F2,0,0,0,0,
"[ntdll.dll]",83,1.12,0x776122A6,0,0,0,0,
"std::less<AutoCompleteManager::Entry>::operator()",74,1.00,0x016861AD,192,0,192,0,
"AutoCompleteManager::Entry::operator<",70,0.95,0x0168612D,39,0,39,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Kfn",70,0.95,0x0168776D,"2,234",0,"2,234",0,
"@ILT+37035(__RTC_CheckEsp)",68,0.92,0x0163A0B0,0,0,0,0,
"std::_Bitmap::_Mark",68,0.92,0x0178F0FD,"1,598",0,"1,598",0,
"[MSVCR120D.dll]",62,0.84,0x0F1AE57E,0,0,0,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Isnil",60,0.81,0x016876BC,583,0,583,0,
"[MSVCR120D.dll]",59,0.80,0x0F1AE5A9,0,0,0,0,
"std::allocator<std::_Container_proxy>::deallocate",59,0.80,0x01681F7C,573,0,573,0,
"std::_Iterator_base12::_Adopt",58,0.78,0x01686A8B,148,0,148,0,
"std::_Iterator_base12::~_Iterator_base12",57,0.77,0x016853DD,140,0,140,0,
"std::_Allocate<std::_Container_proxy>",56,0.76,0x01679712,28,0,28,0,
"wxStringData::IsEmpty",56,0.76,0x0168000D,226,0,226,0,
"_RTC_CheckEsp",51,0.69,0x01B42010,21,0,21,0,
"wxStringBase::length",51,0.69,0x0168249D,412,0,412,0,
"std::_Tree_comp<0,std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Getcomp",49,0.66,0x016875CD,"1,006",0,"1,006",0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Key",44,0.60,0x016876FD,"2,239",0,"2,239",0,
"[ntdll.dll]",43,0.58,0x7761E023,0,0,0,0,
"[MSVCP120D.dll]",42,0.57,0x0F60AF3D,0,0,0,0,
"std::_Debug_lt_pred<std::less<AutoCompleteManager::Entry>,AutoCompleteManager::Entry const &,AutoCompleteManager::Entry const &>",42,0.57,0x0168305C,520,0,520,0,
"std::_Iterator_base12::_Iterator_base12",42,0.57,0x016850AD,119,0,119,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Myval",42,0.57,0x01687B9C,603,0,603,0,
"wxStringData::Unlock",35,0.47,0x01680F2D,243,0,243,0,
"wxStringData::IsValid",31,0.42,0x0168040D,249,0,249,0,
"std::_Iterator_base12::_Getcont",30,0.41,0x0168760D,182,0,182,0,
"std::_Iterator_base12::operator=",30,0.41,0x016854AB,124,0,124,0,
"std::allocator<unsigned int>::allocator<unsigned int>",30,0.41,0x0168BCED,552,0,552,0,
"wxStringBase::~wxStringBase",30,0.41,0x0167D79D,389,0,389,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Left",28,0.38,0x0168780C,588,0,588,0,
"wxString::~wxString",28,0.38,0x0167D74D,0,0,0,0,
"?GetWBack@wxInputStream@@IAEIPAXI@Z",26,0.35,0x01814999,0,0,0,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::_Wrap_alloc<std::allocator<unsigned int> >",26,0.35,0x0168BBED,801,0,801,0,
"wxString::wxString",26,0.35,0x0167CA0D,690,0,690,0,
"wxStringBase::wxStringBase",26,0.35,0x0167CB4D,349,0,349,0,
"?AllocSpaceWBack@wxInputStream@@IAEPADI@Z",25,0.34,0x0181482D,0,0,0,0,
"[ntdll.dll]",25,0.34,0x7761228D,0,0,0,0,
"std::forward<std::_Container_proxy>",25,0.34,0x01679C8C,"1,504",0,"1,504",0,
"[ntdll.dll]",24,0.32,0x77651CF3,0,0,0,0,
"[MSVCP120D.dll]",23,0.31,0x0F60B024,0,0,0,0,
"[ntdll.dll]",23,0.31,0x77651D29,0,0,0,0,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Getal",23,0.31,0x0178CE2D,641,0,641,0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Getal",23,0.31,0x0178CDCD,641,0,641,0,
