函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"[ntdll.dll]",568,7.69,"3,404",46.06,0,0,0,0,
"wxStringBase::GetStringData",228,3.08,228,3.08,265,0,265,0,
"wxStringBase::c_str",204,2.76,204,2.76,527,0,527,0,
"[MSVCR120D.dll]",202,2.73,"4,737",64.09,0,0,0,0,
"[MSVCP120D.dll]",170,2.30,316,4.28,0,0,0,0,
"std::forward<AutoCompleteManager::Entry const &>",156,2.11,156,2.11,"1,504",0,"1,504",0,
"std::_Iterator_base12::_Orphan_me",127,1.72,127,1.72,192,0,192,0,
"std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0>::_Kfn",106,1.43,106,1.43,33,0,33,0,
"wxStringData::IsEmpty",92,1.24,92,1.24,226,0,226,0,
"AutoCompleteManager::Entry::operator<",88,1.19,88,1.19,39,0,39,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Kfn",88,1.19,88,1.19,"2,234",0,"2,234",0,
"std::less<AutoCompleteManager::Entry>::operator()",80,1.08,80,1.08,192,0,192,0,
"std::_Bitmap::_Mark",75,1.01,75,1.01,"1,598",0,"1,598",0,
"std::_Iterator_base12::_Adopt",73,0.99,73,0.99,148,0,148,0,
"@ILT+37035(__RTC_CheckEsp)",68,0.92,68,0.92,0,0,0,0,
"std::_Iterator_base12::~_Iterator_base12",67,0.91,67,0.91,140,0,140,0,
"wxStringBase::length",67,0.91,127,1.72,412,0,412,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Isnil",65,0.88,65,0.88,583,0,583,0,
"std::_Iterator_base12::_Iterator_base12",61,0.83,61,0.83,119,0,119,0,
"wxStringData::Unlock",61,0.83,213,2.88,243,0,243,0,
"std::allocator<std::_Container_proxy>::deallocate",60,0.81,132,1.79,573,0,573,0,
"std::_Tree_comp<0,std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Getcomp",58,0.78,58,0.78,"1,006",0,"1,006",0,
"std::_Allocate<std::_Container_proxy>",56,0.76,120,1.62,28,0,28,0,
"_RTC_CheckEsp",51,0.69,51,0.69,21,0,21,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Key",49,0.66,49,0.66,"2,239",0,"2,239",0,
"std::_Debug_lt_pred<std::less<AutoCompleteManager::Entry>,AutoCompleteManager::Entry const &,AutoCompleteManager::Entry const &>",48,0.65,48,0.65,520,0,520,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Myval",48,0.65,48,0.65,603,0,603,0,
"wxStringData::IsValid",46,0.62,46,0.62,249,0,249,0,
"wxString::~wxString",41,0.55,304,4.11,0,0,0,0,
"std::allocator<unsigned int>::allocator<unsigned int>",40,0.54,40,0.54,552,0,552,0,
"wxStringBase::~wxStringBase",40,0.54,40,0.54,389,0,389,0,
