标记 ID,标记名,时间戳,\Processor(_Total)\% Processor Time,\Memory\Pages/sec,\Processor(_Total)\% Privileged Time,\Processor(_Total)\% User Time,\.NET CLR Exceptions(Decoda)\# of Exceps Thrown / sec,\.NET CLR Memory(Decoda)\# Bytes in all Heaps,\.NET CLR Memory(Decoda)\# Total committed bytes,\.NET CLR Memory(Decoda)\# Gen 0 Collections,\.NET CLR Memory(Decoda)\# Gen 1 Collections,\.NET CLR Memory(Decoda)\# Gen 2 Collections,\.NET CLR Memory(Decoda)\% Time in GC,\Process(Decoda)\% Processor Time,\Process(Decoda)\% Privileged Time,\Process(Decoda)\% User Time,\Process(Decoda)\Private Bytes,\.NET CLR LocksAndThreads(Decoda)\Contention Rate / sec,\Process(Decoda)\Working Set,
0,"启动程序",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,"AutoMark",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"AutoMark",539.09,73,737,17,56,0,0,0,0,0,0,0,0,0,0,"9,089,024",0,"12,627,968",
3,"AutoMark","1,179.28",74,724,17,54,0,0,0,0,0,0,0,54,20,34,"19,251,200",0,"21,327,872",
4,"AutoMark","1,693.71",44,0,6,38,0,0,0,0,0,0,0,0,0,0,"19,263,488",0,"21,340,160",
5,"AutoMark","2,199.15",22,0,8,14,0,0,0,0,0,0,0,0,0,0,"19,263,488",0,"21,340,160",
6,"AutoMark","3,204.65",29,0,8,20,0,0,0,0,0,0,0,4,1,3,"19,267,584",0,"21,835,776",
7,"AutoMark","3,740.21",43,1,11,34,0,0,0,0,0,0,0,0,0,0,"19,267,584",0,"21,827,584",
8,"AutoMark","4,758.69",39,11,4,34,0,0,0,0,0,0,0,1,0,1,"19,271,680",0,"21,557,248",
9,"AutoMark","5,760.71",20,0,5,14,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,557,248",
10,"AutoMark","6,762.43",15,0,5,9,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,557,248",
11,"AutoMark","7,263.47",19,0,3,16,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,557,248",
12,"AutoMark","8,264.53",14,0,3,11,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,557,248",
13,"AutoMark","9,266.63",13,0,7,6,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,557,248",
14,"AutoMark","10,269.64",17,0,5,11,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,561,344",
15,"AutoMark","10,786.77",19,0,9,9,0,0,0,0,0,0,0,0,0,0,"19,271,680",0,"21,561,344",
16,"AutoMark","11,291.72",18,0,7,11,0,0,0,0,0,0,0,0,0,0,"19,218,432",0,"21,536,768",
17,"AutoMark","12,294.80",13,0,7,6,0,0,0,0,0,0,0,0,0,0,"19,218,432",0,"21,536,768",
18,"AutoMark","12,796.27",16,0,4,11,0,0,0,0,0,0,0,0,0,0,"19,218,432",0,"21,536,768",
19,"AutoMark","13,797.31",14,0,4,9,0,0,0,0,0,0,0,0,0,0,"19,218,432",0,"21,553,152",
20,"AutoMark","14,798.71",17,0,6,11,0,0,0,0,0,0,0,1,1,0,"19,218,432",0,"21,557,248",
21,"AutoMark","15,299.98",19,0,9,11,0,0,0,0,0,0,0,6,6,0,"19,218,432",0,"21,557,248",
22,"AutoMark","16,308.59",14,0,8,6,0,0,0,0,0,0,0,3,3,0,"19,218,432",0,"21,577,728",
23,"AutoMark","17,309.06",22,312,7,14,0,0,0,0,0,0,0,1,1,0,"19,234,816",0,"21,753,856",
24,"AutoMark","17,821.10",43,0,6,38,0,0,0,0,0,0,0,0,0,0,"19,234,816",0,"21,753,856",
25,"AutoMark","18,343.18",37,1,2,35,0,0,0,0,0,0,0,0,0,0,"19,234,816",0,"21,753,856",
26,"AutoMark","18,863.69",40,0,6,32,0,0,0,0,0,0,0,0,0,0,"19,234,816",0,"21,753,856",
27,"AutoMark","19,376.21",32,0,5,28,0,0,0,0,0,0,0,3,0,3,"19,234,816",0,"21,823,488",
28,"AutoMark","19,887.39",40,0,7,33,0,0,0,0,0,0,0,0,0,0,"19,234,816",0,"21,823,488",
29,"AutoMark","20,406.23",36,0,4,30,0,0,0,0,0,0,0,0,0,0,"19,251,200",0,"21,872,640",
30,"AutoMark","20,917.52",38,0,3,35,0,0,0,0,0,0,0,0,0,0,"19,251,200",0,"21,872,640",
31,"AutoMark","21,457.85",36,0,3,31,0,0,0,0,0,0,0,0,0,0,"19,251,200",0,"21,872,640",
32,"AutoMark","21,979.87",35,0,2,34,0,0,0,0,0,0,0,0,0,0,"19,251,200",0,"21,872,640",
33,"AutoMark","22,494.40",38,0,3,35,0,0,0,0,0,0,0,0,0,0,"19,251,200",0,"21,872,640",
34,"AutoMark","23,019.70",43,0,4,37,0,0,0,0,0,0,0,0,0,0,"19,251,200",0,"21,872,640",
35,"AutoMark","23,536.90",47,21,10,36,0,0,0,0,0,0,0,15,9,6,"19,968,000",0,"22,056,960",
36,"AutoMark","24,068.50",39,0,8,34,0,0,0,0,0,0,0,2,2,0,"19,968,000",0,"22,056,960",
37,"AutoMark","25,138.73",49,56,11,36,0,0,0,0,0,0,0,42,7,34,"20,398,080",0,"22,958,080",
38,"AutoMark","25,642.91",71,0,20,50,0,0,0,0,0,0,0,142,24,117,"20,226,048",0,"23,412,736",
39,"AutoMark","26,190.34",68,0,7,63,0,0,0,0,0,0,0,93,0,93,"20,348,928",0,"23,539,712",
40,"AutoMark","27,221.64",72,0,12,59,0,0,0,0,0,0,0,146,10,136,"20,795,392",0,"23,986,176",
41,"AutoMark","28,223.22",65,0,5,59,0,0,0,0,0,0,0,193,4,188,"21,057,536",0,"24,264,704",
42,"AutoMark","29,224.81",69,0,10,57,0,0,0,0,0,0,0,182,7,174,"21,319,680",0,"24,535,040",
43,"AutoMark","30,231.36",65,6,7,59,0,0,0,0,0,0,0,176,3,173,"21,762,048",0,"25,022,464",
44,"AutoMark","31,238.97",74,2,11,63,0,0,0,0,0,0,0,185,1,184,"22,077,440",0,"25,346,048",
45,"AutoMark","31,752.00",69,0,9,57,0,0,0,0,0,0,0,188,0,188,"22,339,584",0,"25,620,480",
46,"AutoMark","32,262.02",66,0,12,55,0,0,0,0,0,0,0,174,6,168,"22,339,584",0,"25,620,480",
47,"AutoMark","33,270.08",67,7,4,61,0,0,0,0,0,0,0,199,3,196,"22,654,976",0,"25,923,584",
48,"AutoMark","33,801.12",68,0,7,63,0,0,0,0,0,0,0,187,2,184,"22,786,048",0,"26,058,752",
49,"AutoMark","34,307.14",64,0,5,57,0,0,0,0,0,0,0,185,3,182,"22,851,584",0,"26,124,288",
50,"AutoMark","35,312.21",65,0,5,59,0,0,0,0,0,0,0,197,0,197,"23,318,528",0,"26,619,904",
51,"AutoMark","35,828.78",62,0,6,55,0,0,0,0,0,0,0,181,6,175,"23,511,040",0,"26,812,416",
52,"AutoMark","36,330.27",63,0,8,57,0,0,0,0,0,0,0,198,3,195,"23,674,880",0,"26,972,160",
53,"AutoMark","37,333.33",64,0,3,60,0,0,0,0,0,0,0,194,0,194,"24,068,096",0,"27,373,568",
54,"AutoMark","38,339.42",68,0,6,61,0,0,0,0,0,0,0,198,0,198,"24,330,240",0,"27,639,808",
55,"AutoMark","38,849.43",65,0,7,58,0,0,0,0,0,0,0,198,0,198,"24,461,312",0,"27,770,880",
56,"AutoMark","39,359.76",66,0,10,56,0,0,0,0,0,0,0,198,0,198,"24,592,384",0,"27,901,952",
57,"AutoMark","39,884.31",67,0,8,57,0,0,0,0,0,0,0,196,5,190,"24,723,456",0,"28,033,024",
58,"AutoMark","40,391.53",64,0,6,59,0,0,0,0,0,0,0,196,3,193,"24,723,456",0,"28,033,024",
59,"AutoMark","41,401.56",69,0,8,63,0,0,0,0,0,0,0,112,0,112,"24,985,600",0,"28,295,168",
60,"AutoMark","41,948.64",68,0,6,59,0,0,0,0,0,0,0,99,0,99,"24,985,600",0,"28,295,168",
61,"AutoMark","42,507.64",67,0,9,57,0,0,0,0,0,0,0,94,2,92,"25,116,672",0,"28,426,240",
62,"AutoMark","43,023.75",70,0,7,62,0,0,0,0,0,0,0,96,0,96,"25,247,744",0,"28,557,312",
63,"AutoMark","44,031.77",64,19,9,54,0,0,0,0,0,0,0,133,0,133,"25,378,816",0,"28,688,384",
64,"AutoMark","44,538.82",66,0,9,57,0,0,0,0,0,0,0,156,0,156,"25,378,816",0,"28,692,480",
65,"AutoMark","45,543.96",67,0,13,52,0,0,0,0,0,0,0,94,0,94,"25,509,888",0,"28,823,552",
66,"AutoMark","46,545.91",57,8,14,42,0,0,0,0,0,0,0,108,6,102,"24,174,592",0,"28,086,272",
67,"AutoMark","47,047.02",19,0,3,18,0,0,0,0,0,0,0,43,0,43,"24,186,880",0,"28,090,368",
68,"AutoMark","47,548.14",19,0,8,10,0,0,0,0,0,0,0,0,0,0,"24,186,880",0,"28,090,368",
69,"AutoMark","48,549.07",15,0,6,8,0,0,0,0,0,0,0,0,0,0,"24,186,880",0,"28,114,944",
70,"AutoMark","49,561.59",17,0,9,8,0,0,0,0,0,0,0,1,1,0,"24,186,880",0,"28,114,944",
71,"AutoMark","50,075.21",16,1,8,6,0,0,0,0,0,0,0,0,0,0,"24,186,880",0,"28,123,136",
72,"AutoMark","51,078.18",19,28,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,"AutoMark","52,081.37",16,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4,294,967,295","程序结束","52,589.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,"AutoMark","52,589.45",14,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,
